index,input_i,input_q,input_magnitude,output_i,output_q,output_magnitude,gain,saturated,monotonic
170,20000,0,20000.0,12843,0,12843.0,0.64215,0,1
171,20118,0,20118.0,12976,0,12976.0,0.644994532259668,0,1
172,20235,0,20235.0,13109,0,13109.0,0.6478379046207067,0,1
173,20353,0,20353.0,13245,0,13245.0,0.6507640151329043,0,1
174,20471,0,20471.0,13381,0,13381.0,0.6536563919691271,0,1
175,20588,0,20588.0,13518,0,13518.0,0.6565960753837187,0,1
176,20706,0,20706.0,13656,0,13656.0,0.6595189800057955,0,1
177,20824,0,20824.0,13796,0,13796.0,0.6625048021513638,0,1
178,20941,0,20941.0,13935,0,13935.0,0.6654410009073111,0,1
179,21059,0,21059.0,14077,0,14077.0,0.6684552922740871,0,1
180,21176,0,21176.0,14219,0,14219.0,0.6714676992822063,0,1
181,21294,0,21294.0,14362,0,14362.0,0.6744622898469053,0,1
182,21412,0,21412.0,14507,0,14507.0,0.6775172800298898,0,1
183,21529,0,21529.0,14652,0,14652.0,0.680570393422825,0,1
184,21647,0,21647.0,14799,0,14799.0,0.6836513142698757,0,1
185,21765,0,21765.0,14947,0,14947.0,0.6867447737192741,0,1
186,21882,0,21882.0,15095,0,15095.0,0.6898363952106754,0,1
187,22000,0,22000.0,15246,0,15246.0,0.693,0,1
188,22118,0,22118.0,15397,0,15397.0,0.6961298489917714,0,1
189,22235,0,22235.0,15548,0,15548.0,0.699257926692152,0,1
190,22353,0,22353.0,15702,0,15702.0,0.7024560461682996,0,1
191,22471,0,22471.0,15857,0,15857.0,0.7056650794357171,0,1
192,22588,0,22588.0,16012,0,16012.0,0.7088719674163273,0,1
193,22706,0,22706.0,16169,0,16169.0,0.7121025279661763,0,1
194,22824,0,22824.0,16327,0,16327.0,0.7153434980722047,0,1
195,22941,0,22941.0,16485,0,16485.0,0.7185824506342356,0,1
196,23059,0,23059.0,16646,0,16646.0,0.7218873324949043,0,1
197,23176,0,23176.0,16806,0,16806.0,0.7251467034863652,0,1
