index,input_i,input_q,input_magnitude,output_i,output_q,output_magnitude,gain,saturated,monotonic,readback_stable
246,28941,0,28941.0,24485,0,24485.0,0.8460315814933831,0,1,1
247,29059,0,29059.0,24715,0,24715.0,0.8505110292852472,0,1,1
248,29176,0,29176.0,24944,0,24944.0,0.8549492733753771,0,1,1
249,29294,0,29294.0,25176,0,25176.0,0.8594251382535673,0,1,1
250,29412,0,29412.0,25411,0,25411.0,0.8639670882632939,0,1,1
251,29529,0,29529.0,25645,0,25645.0,0.8684682854143384,0,1,1
252,29647,0,29647.0,25882,0,25882.0,0.8730057004081357,0,1,1
253,29765,0,29765.0,26121,0,26121.0,0.8775743322694439,0,1,1
254,29882,0,29882.0,26360,0,26360.0,0.8821364031858644,0,1,1
255,30000,0,30000.0,26602,0,26602.0,0.8867333333333334,0,1,1
