profile,profile_label,coef1_re,coef1_im,coef3_re,coef3_im,index,input_i,input_q,input_magnitude,output_i,output_q,output_magnitude,phase_shift_deg
C,AM/PM média,0x3333,0x0000,0x0000,0x199A,59,7031,0,7031.0,2812,65,2812.7511443424924,1.324168769440583
C,AM/PM média,0x3333,0x0000,0x0000,0x199A,60,7148,0,7148.0,2859,68,2859.8085600263526,1.3624968777442508
C,AM/PM média,0x3333,0x0000,0x0000,0x199A,61,7266,0,7266.0,2906,71,2906.8672140295644,1.3995840310407874
C,AM/PM média,0x3333,0x0000,0x0000,0x199A,62,7383,0,7383.0,2953,75,2953.9522677253944,1.454879732497296
C,AM/PM média,0x3333,0x0000,0x0000,0x199A,63,7500,0,7500.0,3000,79,3001.039986404713,1.5084402517930906
C,AM/PM média,0x3333,0x0000,0x0000,0x199A,64,7617,0,7617.0,3047,82,3048.103180668266,1.5415556911037813
C,AM/PM média,0x3333,0x0000,0x0000,0x199A,65,7734,0,7734.0,3094,86,3095.194985780379,1.5921682747741501
C,AM/PM média,0x3333,0x0000,0x0000,0x199A,66,7852,0,7852.0,3141,90,3142.2891337367414,1.6412638129365782
C,AM/PM média,0x3333,0x0000,0x0000,0x199A,67,7969,0,7969.0,3188,94,3189.3855207547426,1.6889094366699011
C,AM/PM média,0x3333,0x0000,0x0000,0x199A,68,8086,0,8086.0,3234,98,3235.484507766959,1.7357045889283889
C,AM/PM média,0x3333,0x0000,0x0000,0x199A,69,8203,0,8203.0,3281,103,3282.6163345721657,1.7980883206668343
C,AM/PM média,0x3333,0x0000,0x0000,0x199A,70,8320,0,8320.0,3328,107,3329.719657869113,1.8415075928185074
C,AM/PM média,0x3333,0x0000,0x0000,0x199A,71,8438,0,8438.0,3375,112,3376.857859016278,1.9006735485384676
C,AM/PM média,0x3333,0x0000,0x0000,0x199A,72,8555,0,8555.0,3422,117,3423.99956191586,1.9582103677971487
C,AM/PM média,0x3333,0x0000,0x0000,0x199A,73,8672,0,8672.0,3469,121,3471.109620856132,1.9976880374108226
C,AM/PM média,0x3333,0x0000,0x0000,0x199A,74,8789,0,8789.0,3516,126,3518.2569548002034,2.052383445272893
C,AM/PM média,0x3333,0x0000,0x0000,0x199A,75,8906,0,8906.0,3562,132,3564.444977833155,2.1222862660258723
C,AM/PM média,0x3333,0x0000,0x0000,0x199A,76,9023,0,9023.0,3609,137,3611.5993687007976,2.1739414334925304
C,AM/PM média,0x3333,0x0000,0x0000,0x199A,77,9141,0,9141.0,3656,142,3658.7566193995467,2.2242650871649565
C,AM/PM média,0x3333,0x0000,0x0000,0x199A,78,9258,0,9258.0,3703,148,3705.956421762134,2.2887562702360054
C,AM/PM média,0x3333,0x0000,0x0000,0x199A,79,9375,0,9375.0,3750,153,3753.1199021614007,2.3363719730319565
C,AM/PM média,0x3333,0x0000,0x0000,0x199A,80,9492,0,9492.0,3797,159,3800.3276174561584,2.3978692748927273
C,AM/PM média,0x3333,0x0000,0x0000,0x199A,81,9609,0,9609.0,3844,165,3847.5396034349014,2.4578574151547405
C,AM/PM média,0x3333,0x0000,0x0000,0x199A,82,9727,0,9727.0,3891,171,3894.755704790738,2.5163911465212534
