profile,profile_label,coef1_re,coef1_im,coef3_re,coef3_im,index,input_i,input_q,input_magnitude,output_i,output_q,output_magnitude,phase_shift_deg
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,158,18633,0,18633.0,7453,603,7477.353676268095,4.62555530502631
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,159,18750,0,18750.0,7500,614,7525.091095794123,4.68017735247828
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,160,18867,0,18867.0,7547,626,7572.917865657861,4.741650768646057
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,161,18984,0,18984.0,7593,637,7619.673090100388,4.795488981324122
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,162,19102,0,19102.0,7641,649,7668.512372031488,4.854852230720424
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,163,19219,0,19219.0,7687,661,7715.367133195931,4.914736179080392
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,164,19336,0,19336.0,7734,673,7763.226455540248,4.97325721869131
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,165,19453,0,19453.0,7781,686,7811.181536745898,5.038367907839444
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,166,19570,0,19570.0,7828,698,7859.057704330717,5.0954224061928475
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,167,19688,0,19688.0,7875,711,7907.0314277862835,5.159002832583272
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,168,19805,0,19805.0,7922,724,7955.014770570825,5.221816322164422
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,169,19922,0,19922.0,7969,736,8002.915531229853,5.276747579508135
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,170,20039,0,20039.0,8015,749,8049.920869176292,5.338773189387041
B,AM/PM leve,0x3333,0x0000,0x0000,0x0CCD,171,20156,0,20156.0,8062,763,8098.02525310955,5.40645659456341
