index,requested_amplitude,requested_phase_deg,input_i,input_q,input_magnitude,input_phase_deg,output_i,output_q,output_magnitude,output_phase_deg,phase_shift_deg,gain
46,5250,-90,0,-5250,5250.0,-90.0,1050,-2101,2348.7658461413303,-63.44585814866852,26.55414185133148,0.4473839706935867
47,5250,-45,3712,-3712,5249.5607435289285,-45.0,2227,-743,2347.675020099673,-18.45038410797778,26.54961589202222,0.4472136117281097
48,6125,0,6125,0,6125.0,0.0,2450,1225,2739.1832724372425,26.56505117707799,26.56505117707799,0.447213595499958
49,6125,45,4331,4331,6124.958938637875,45.0,866,2599,2739.4811552554984,71.57166502669806,26.571665026698057,0.44726522784897715
50,6125,90,0,6125,6125.0,90.0,-1226,2450,2739.63063203783,116.58375694837326,26.583756948373264,0.44728663380209466
51,6125,135,-4331,4331,6124.958938637875,135.0,-2600,866,2740.429893283169,161.57827429697087,26.578274296970875,0.44742012489190847
52,6125,180,-6125,0,6125.0,180.0,-2451,-1226,2740.524949713102,-153.42559898953357,26.57440101046643,0.4474326448511187
53,6125,-135,-4331,-4331,6124.958938637875,-135.0,-867,-2600,2740.7460663111424,-108.44155962011352,26.558440379886477,0.44747174532416617
54,6125,-90,0,-6125,6125.0,-90.0,1225,-2451,2740.0777361235573,-63.444300182315565,26.555699817684435,0.4473596303875196
55,6125,-45,4331,-4331,6124.958938637875,-45.0,2599,-867,2739.797437767982,-18.448174995243196,26.551825004756804,0.44731686615637684
56,7000,0,7000,0,7000.0,0.0,2800,1400,3130.4951684997054,26.56505117707799,26.56505117707799,0.4472135954999579
57,7000,45,4950,4950,7000.35713374682,45.0,990,2970,3130.6548835666954,71.56505117707799,26.56505117707799,0.4472135954999579
58,7000,90,0,7000,7000.0,90.0,-1401,2800,3130.9425098522647,116.58141906108155,26.581419061081547,0.4472775014074664
59,7000,135,-4950,4950,7000.35713374682,135.0,-2971,990,3131.603582831007,161.5708368762922,26.57083687629219,0.4473491170520996
60,7000,180,-7000,0,7000.0,180.0,-2801,-1401,3131.836841216349,-153.42676721802073,26.5732327819793,0.447405263030907
61,7000,-135,-4950,-4950,7000.35713374682,-135.0,-991,-2971,3131.919858489358,-108.44651905287643,26.553480947123575,0.44739429698396715
62,7000,-90,0,-7000,7000.0,-90.0,1400,-2801,3131.3896276254095,-63.44313159629012,26.556868403709878,0.4473413753750585
63,7000,-45,4950,-4950,7000.35713374682,-45.0,2970,-991,3130.971255058085,-18.452309426222584,26.547690573777416,0.4472587891215611
64,7875,0,7875,0,7875.0,0.0,3150,1575,3521.8070645621688,26.56505117707799,26.56505117707799,0.4472135954999579
65,7875,45,5568,5568,7874.341115293393,45.0,1113,3341,3521.5124591572867,71.57534136725347,26.575341367253472,0.4472136027124699
